Species 1,Species 2,Mole frac species 1,Mole frac species 2,deltaH,Temp (K)
CrF2,CrF3,0.6,0.4,-3331.61,1200
CrF2,CrF3,0.59,0.41,-3274.3,1200
CrF2,CrF3,0.58,0.42,-3214.02,1200
CrF2,CrF3,0.57,0.43,-3151.13,1200
CrF2,CrF3,0.56,0.44,-3085.96,1200
CrF2,CrF3,0.55,0.45,-3018.84,1200
CrF2,CrF3,0.54,0.46,-2950.05,1200
CrF2,CrF3,0.53,0.47,-2879.86,1200
CrF2,CrF3,0.52,0.48,-2808.51,1200
CrF2,CrF3,0.51,0.49,-2736.25,1200
CrF2,CrF3,0.5,0.5,-2663.28,1200
CrF2,CrF3,0.49,0.51,-2589.79,1200
CrF2,CrF3,0.48,0.52,-2515.95,1200
CrF2,CrF3,0.47,0.53,-2441.95,1200
CrF2,CrF3,0.46,0.54,-2367.91,1200
CrF2,CrF3,0.45,0.55,-2293.97,1200
CrF2,CrF3,0.44,0.56,-2220.27,1200
CrF2,CrF3,0.43,0.57,-2146.92,1200
CrF2,CrF3,0.42,0.58,-2074.01,1200
CrF2,CrF3,0.41,0.59,-2001.65,1200
CrF2,CrF3,0.4,0.6,-1929.91,1200
CrF2,CrF3,0.39,0.61,-1858.89,1200
CrF2,CrF3,0.38,0.62,-1788.65,1200
CrF2,CrF3,0.37,0.63,-1719.25,1200
CrF2,CrF3,0.36,0.64,-1650.75,1200
CrF2,CrF3,0.35,0.65,-1583.22,1200
CrF2,CrF3,0.34,0.66,-1516.69,1200
CrF2,CrF3,0.33,0.67,-1451.22,1200
CrF2,CrF3,0.32,0.68,-1386.83,1200
CrF2,CrF3,0.31,0.69,-1323.57,1200
CrF2,CrF3,0.3,0.7,-1261.47,1200
CrF2,CrF3,0.29,0.71,-1200.56,1200
CrF2,CrF3,0.28,0.72,-1140.85,1200
CrF2,CrF3,0.27,0.73,-1082.39,1200
CrF2,CrF3,0.26,0.74,-1025.18,1200
CrF2,CrF3,0.25,0.75,-969.24,1200
CrF2,CrF3,0.24,0.76,-914.58,1200
CrF2,CrF3,0.23,0.77,-861.23,1200
CrF2,CrF3,0.22,0.78,-809.18,1200
CrF2,CrF3,0.21,0.79,-758.46,1200
CrF2,CrF3,0.2,0.8,-709.06,1200
CrF2,CrF3,0.19,0.81,-661,1200
CrF2,CrF3,0.18,0.82,-614.27,1200
CrF2,CrF3,0.17,0.83,-568.88,1200
CrF2,CrF3,0.16,0.84,-524.83,1200
CrF2,CrF3,0.15,0.85,-482.13,1200
CrF2,CrF3,0.14,0.86,-440.76,1200
CrF2,CrF3,0.13,0.87,-400.73,1200
CrF2,CrF3,0.12,0.88,-362.04,1200
CrF2,CrF3,0.11,0.89,-324.69,1200
CrF2,CrF3,0.1,0.9,-288.66,1200
CrF2,CrF3,0.09,0.91,-253.95,1200
CrF2,CrF3,0.08,0.92,-220.56,1200
CrF2,CrF3,0.07,0.93,-188.48,1200
CrF2,CrF3,0.06,0.94,-157.71,1200
CrF2,CrF3,0.05,0.95,-128.23,1200
CrF2,CrF3,0.04,0.96,-100.04,1200
CrF2,CrF3,0.03,0.97,-73.14,1200
CrF2,CrF3,0.02,0.98,-47.5,1200
CrF2,CrF3,0.01,0.99,-23.12,1200
CrF2,CrF3,0,1,0,1200
CrF3,KF,1,0,0,1200
CrF3,KF,0.99,0.01,-711.37,1200
CrF3,KF,0.98,0.02,-1417.88,1200
CrF3,KF,0.97,0.03,-2120.11,1200
CrF3,KF,0.96,0.04,-2818.66,1200
CrF3,KF,0.95,0.05,-3514.1,1200
CrF3,KF,0.94,0.06,-4207.01,1200
CrF3,KF,0.93,0.07,-4897.97,1200
CrF3,KF,0.92,0.08,-5587.54,1200
CrF3,KF,0.91,0.09,-6276.31,1200
CrF3,KF,0.9,0.1,-6964.83,1200
CrF3,KF,0.89,0.11,-7653.68,1200
CrF3,KF,0.88,0.12,-8343.42,1200
CrF3,KF,0.87,0.13,-9034.62,1200
CrF3,KF,0.86,0.14,-9727.84,1200
CrF3,KF,0.85,0.15,-10423.67,1200
CrF3,KF,0.84,0.16,-11122.64,1200
CrF3,KF,0.83,0.17,-11825.35,1200
CrF3,KF,0.82,0.18,-12532.34,1200
CrF3,KF,0.81,0.19,-13244.17,1200
CrF3,KF,0.8,0.2,-13961.41,1200
CrF3,KF,0.79,0.21,-14684.59,1200
CrF3,KF,0.78,0.22,-15414.27,1200
CrF3,KF,0.77,0.23,-16150.97,1200
CrF3,KF,0.76,0.24,-16895.21,1200
CrF3,KF,0.75,0.25,-17647.48,1200
CrF3,KF,0.74,0.26,-18408.27,1200
CrF3,KF,0.73,0.27,-19178.01,1200
CrF3,KF,0.72,0.28,-19957.11,1200
CrF3,KF,0.71,0.29,-20745.93,1200
CrF3,KF,0.7,0.3,-21544.77,1200
CrF3,KF,0.69,0.31,-22353.86,1200
CrF3,KF,0.68,0.32,-23173.34,1200
CrF3,KF,0.67,0.33,-24003.23,1200
CrF3,KF,0.66,0.34,-24843.39,1200
CrF3,KF,0.65,0.35,-25693.53,1200
CrF3,KF,0.64,0.36,-26553.11,1200
CrF3,KF,0.63,0.37,-27421.28,1200
CrF3,KF,0.62,0.38,-28296.84,1200
CrF3,KF,0.61,0.39,-29178.09,1200
CrF3,KF,0.6,0.4,-30062.7,1200
CrF3,KF,0.59,0.41,-30947.54,1200
CrF3,KF,0.58,0.42,-31828.4,1200
CrF3,KF,0.57,0.43,-32699.75,1200
CrF3,KF,0.56,0.44,-33554.3,1200
CrF3,KF,0.55,0.45,-34382.63,1200
CrF3,KF,0.54,0.46,-35172.74,1200
CrF3,KF,0.53,0.47,-35909.77,1200
CrF3,KF,0.52,0.48,-36576.16,1200
CrF3,KF,0.51,0.49,-37152.52,1200
CrF3,KF,0.5,0.5,-37619.62,1200
CrF3,KF,0.49,0.51,-37961.41,1200
CrF3,KF,0.48,0.52,-38168.18,1200
CrF3,KF,0.47,0.53,-38238.52,1200
CrF3,KF,0.46,0.54,-38179.11,1200
CrF3,KF,0.45,0.55,-38002.38,1200
CrF3,KF,0.44,0.56,-37723.56,1200
CrF3,KF,0.43,0.57,-37358.1,1200
CrF3,KF,0.42,0.58,-36920.12,1200
CrF3,KF,0.41,0.59,-36421.68,1200
CrF3,KF,0.4,0.6,-35872.72,1200
CrF3,KF,0.39,0.61,-35281.26,1200
CrF3,KF,0.38,0.62,-34653.72,1200
CrF3,KF,0.37,0.63,-33995.16,1200
CrF3,KF,0.36,0.64,-33309.64,1200
CrF3,KF,0.35,0.65,-32600.39,1200
CrF3,KF,0.34,0.66,-31869.98,1200
CrF3,KF,0.33,0.67,-31120.53,1200
CrF3,KF,0.32,0.68,-30353.72,1200
CrF3,KF,0.31,0.69,-29570.94,1200
CrF3,KF,0.3,0.7,-28773.33,1200
CrF3,KF,0.29,0.71,-27961.85,1200
CrF3,KF,0.28,0.72,-27137.29,1200
CrF3,KF,0.27,0.73,-26300.29,1200
CrF3,KF,0.26,0.74,-25451.44,1200
CrF3,KF,0.25,0.75,-24591.19,1200
CrF3,KF,0.24,0.76,-23719.96,1200
CrF3,KF,0.23,0.77,-22838.08,1200
CrF3,KF,0.22,0.78,-21945.87,1200
CrF3,KF,0.21,0.79,-21043.57,1200
CrF3,KF,0.2,0.8,-20131.41,1200
CrF3,KF,0.19,0.81,-19209.58,1200
CrF3,KF,0.18,0.82,-18278.25,1200
CrF3,KF,0.17,0.83,-17337.57,1200
CrF3,KF,0.16,0.84,-16387.68,1200
CrF3,KF,0.15,0.85,-15428.68,1200
CrF3,KF,0.14,0.86,-14460.68,1200
CrF3,KF,0.13,0.87,-13483.77,1200
CrF3,KF,0.12,0.88,-12498.02,1200
CrF3,KF,0.11,0.89,-11503.52,1200
CrF3,KF,0.1,0.9,-10500.32,1200
CrF3,KF,0.09,0.91,-9488.48,1200
CrF3,KF,0.08,0.92,-8468.05,1200
CrF3,KF,0.07,0.93,-7439.08,1200
CrF3,KF,0.06,0.94,-6401.61,1200
CrF3,KF,0.05,0.95,-5355.66,1200
CrF3,KF,0.04,0.96,-4301.29,1200
CrF3,KF,0.03,0.97,-3238.51,1200
CrF3,KF,0.02,0.98,-2167.35,1200
CrF3,KF,0.01,0.99,-1087.84,1200
CrF3,KF,0,1,0,1200
CrF3,LiF,1,0,0,1200
CrF3,LiF,0.99,0.01,-214.33,1200
CrF3,LiF,0.98,0.02,-427.29,1200
CrF3,LiF,0.97,0.03,-638.86,1200
CrF3,LiF,0.96,0.04,-849.01,1200
CrF3,LiF,0.95,0.05,-1057.7,1200
CrF3,LiF,0.94,0.06,-1264.9,1200
CrF3,LiF,0.93,0.07,-1470.59,1200
CrF3,LiF,0.92,0.08,-1674.72,1200
CrF3,LiF,0.91,0.09,-1877.27,1200
CrF3,LiF,0.9,0.1,-2078.19,1200
CrF3,LiF,0.89,0.11,-2277.45,1200
CrF3,LiF,0.88,0.12,-2475.02,1200
CrF3,LiF,0.87,0.13,-2670.85,1200
CrF3,LiF,0.86,0.14,-2864.9,1200
CrF3,LiF,0.85,0.15,-3057.13,1200
CrF3,LiF,0.84,0.16,-3247.5,1200
CrF3,LiF,0.83,0.17,-3435.97,1200
CrF3,LiF,0.82,0.18,-3622.48,1200
CrF3,LiF,0.81,0.19,-3807,1200
CrF3,LiF,0.8,0.2,-3989.47,1200
CrF3,LiF,0.79,0.21,-4169.84,1200
CrF3,LiF,0.78,0.22,-4348.07,1200
CrF3,LiF,0.77,0.23,-4524.09,1200
CrF3,LiF,0.76,0.24,-4697.86,1200
CrF3,LiF,0.75,0.25,-4869.32,1200
CrF3,LiF,0.74,0.26,-5038.41,1200
CrF3,LiF,0.73,0.27,-5205.08,1200
CrF3,LiF,0.72,0.28,-5369.25,1200
CrF3,LiF,0.71,0.29,-5530.86,1200
CrF3,LiF,0.7,0.3,-5689.85,1200
CrF3,LiF,0.69,0.31,-5846.15,1200
CrF3,LiF,0.68,0.32,-5999.7,1200
CrF3,LiF,0.67,0.33,-6150.41,1200
CrF3,LiF,0.66,0.34,-6298.22,1200
CrF3,LiF,0.65,0.35,-6443.04,1200
CrF3,LiF,0.64,0.36,-6584.8,1200
CrF3,LiF,0.63,0.37,-6723.42,1200
CrF3,LiF,0.62,0.38,-6858.81,1200
CrF3,LiF,0.61,0.39,-6990.88,1200
CrF3,LiF,0.6,0.4,-7119.56,1200
CrF3,LiF,0.59,0.41,-7244.74,1200
CrF3,LiF,0.58,0.42,-7366.33,1200
CrF3,LiF,0.57,0.43,-7484.24,1200
CrF3,LiF,0.56,0.44,-7598.37,1200
CrF3,LiF,0.55,0.45,-7708.61,1200
CrF3,LiF,0.54,0.46,-7814.87,1200
CrF3,LiF,0.53,0.47,-7917.05,1200
CrF3,LiF,0.52,0.48,-8015.02,1200
CrF3,LiF,0.51,0.49,-8108.69,1200
CrF3,LiF,0.5,0.5,-8197.94,1200
CrF3,LiF,0.49,0.51,-8282.67,1200
CrF3,LiF,0.48,0.52,-8362.75,1200
CrF3,LiF,0.47,0.53,-8438.08,1200
CrF3,LiF,0.46,0.54,-8508.54,1200
CrF3,LiF,0.45,0.55,-8574.01,1200
CrF3,LiF,0.44,0.56,-8634.38,1200
CrF3,LiF,0.43,0.57,-8689.53,1200
CrF3,LiF,0.42,0.58,-8739.35,1200
CrF3,LiF,0.41,0.59,-8783.7,1200
CrF3,LiF,0.4,0.6,-8822.48,1200
CrF3,LiF,0.39,0.61,-8855.57,1200
CrF3,LiF,0.38,0.62,-8882.82,1200
CrF3,LiF,0.37,0.63,-8904.11,1200
CrF3,LiF,0.36,0.64,-8919.3,1200
CrF3,LiF,0.35,0.65,-8928.22,1200
CrF3,LiF,0.34,0.66,-8930.69,1200
CrF3,LiF,0.33,0.67,-8926.49,1200
CrF3,LiF,0.32,0.68,-8915.39,1200
CrF3,LiF,0.31,0.69,-8897.05,1200
CrF3,LiF,0.3,0.7,-8871.1,1200
CrF3,LiF,0.29,0.71,-8837.06,1200
CrF3,LiF,0.28,0.72,-8794.31,1200
CrF3,LiF,0.27,0.73,-8742.07,1200
CrF3,LiF,0.26,0.74,-8679.38,1200
CrF3,LiF,0.25,0.75,-8605.01,1200
CrF3,LiF,0.24,0.76,-8517.47,1200
CrF3,LiF,0.23,0.77,-8414.92,1200
CrF3,LiF,0.22,0.78,-8295.25,1200
CrF3,LiF,0.21,0.79,-8156.04,1200
CrF3,LiF,0.2,0.8,-7994.76,1200
CrF3,LiF,0.19,0.81,-7808.9,1200
CrF3,LiF,0.18,0.82,-7596.33,1200
CrF3,LiF,0.17,0.83,-7355.51,1200
CrF3,LiF,0.16,0.84,-7085.79,1200
CrF3,LiF,0.15,0.85,-6787.38,1200
CrF3,LiF,0.14,0.86,-6461.37,1200
CrF3,LiF,0.13,0.87,-6109.42,1200
CrF3,LiF,0.12,0.88,-5733.53,1200
CrF3,LiF,0.11,0.89,-5335.86,1200
CrF3,LiF,0.1,0.9,-4918.47,1200
CrF3,LiF,0.09,0.91,-4483.34,1200
CrF3,LiF,0.08,0.92,-4032.21,1200
CrF3,LiF,0.07,0.93,-3566.65,1200
CrF3,LiF,0.06,0.94,-3088.03,1200
CrF3,LiF,0.05,0.95,-2597.57,1200
CrF3,LiF,0.04,0.96,-2096.3,1200
CrF3,LiF,0.03,0.97,-1585.15,1200
CrF3,LiF,0.02,0.98,-1064.92,1200
CrF3,LiF,0.01,0.99,-536.33,1200
CrF3,LiF,0,1,0,1200
CrF3,NaF,1,0,0,1200
CrF3,NaF,0.99,0.01,-516.15,1200
CrF3,NaF,0.98,0.02,-1033.78,1200
CrF3,NaF,0.97,0.03,-1552.89,1200
CrF3,NaF,0.96,0.04,-2073.45,1200
CrF3,NaF,0.95,0.05,-2595.45,1200
CrF3,NaF,0.94,0.06,-3118.87,1200
CrF3,NaF,0.93,0.07,-3643.69,1200
CrF3,NaF,0.92,0.08,-4169.87,1200
CrF3,NaF,0.91,0.09,-4697.41,1200
CrF3,NaF,0.9,0.1,-5226.26,1200
CrF3,NaF,0.89,0.11,-5756.4,1200
CrF3,NaF,0.88,0.12,-6287.79,1200
CrF3,NaF,0.87,0.13,-6820.39,1200
CrF3,NaF,0.86,0.14,-7354.18,1200
CrF3,NaF,0.85,0.15,-7889.1,1200
CrF3,NaF,0.84,0.16,-8425.1,1200
CrF3,NaF,0.83,0.17,-8962.14,1200
CrF3,NaF,0.82,0.18,-9500.15,1200
CrF3,NaF,0.81,0.19,-10039.08,1200
CrF3,NaF,0.8,0.2,-10578.86,1200
CrF3,NaF,0.79,0.21,-11119.42,1200
CrF3,NaF,0.78,0.22,-11660.67,1200
CrF3,NaF,0.77,0.23,-12202.54,1200
CrF3,NaF,0.76,0.24,-12744.92,1200
CrF3,NaF,0.75,0.25,-13287.72,1200
CrF3,NaF,0.74,0.26,-13830.82,1200
CrF3,NaF,0.73,0.27,-14374.09,1200
CrF3,NaF,0.72,0.28,-14917.41,1200
CrF3,NaF,0.71,0.29,-15460.61,1200
CrF3,NaF,0.7,0.3,-16003.55,1200
CrF3,NaF,0.69,0.31,-16546.02,1200
CrF3,NaF,0.68,0.32,-17087.84,1200
CrF3,NaF,0.67,0.33,-17628.78,1200
CrF3,NaF,0.66,0.34,-18168.59,1200
CrF3,NaF,0.65,0.35,-18707,1200
CrF3,NaF,0.64,0.36,-19243.7,1200
CrF3,NaF,0.63,0.37,-19778.33,1200
CrF3,NaF,0.62,0.38,-20310.53,1200
CrF3,NaF,0.61,0.39,-20839.84,1200
CrF3,NaF,0.6,0.4,-21365.78,1200
CrF3,NaF,0.59,0.41,-21887.79,1200
CrF3,NaF,0.58,0.42,-22405.24,1200
CrF3,NaF,0.57,0.43,-22917.38,1200
CrF3,NaF,0.56,0.44,-23423.4,1200
CrF3,NaF,0.55,0.45,-23922.33,1200
CrF3,NaF,0.54,0.46,-24413.06,1200
CrF3,NaF,0.53,0.47,-24894.3,1200
CrF3,NaF,0.52,0.48,-25364.54,1200
CrF3,NaF,0.51,0.49,-25822.02,1200
CrF3,NaF,0.5,0.5,-26264.66,1200
CrF3,NaF,0.49,0.51,-26690.01,1200
CrF3,NaF,0.48,0.52,-27095.16,1200
CrF3,NaF,0.47,0.53,-27476.66,1200
CrF3,NaF,0.46,0.54,-27830.38,1200
CrF3,NaF,0.45,0.55,-28151.46,1200
CrF3,NaF,0.44,0.56,-28434.1,1200
CrF3,NaF,0.43,0.57,-28671.55,1200
CrF3,NaF,0.42,0.58,-28855.98,1200
CrF3,NaF,0.41,0.59,-28978.6,1200
CrF3,NaF,0.4,0.6,-29029.93,1200
CrF3,NaF,0.39,0.61,-29000.32,1200
CrF3,NaF,0.38,0.62,-28880.97,1200
CrF3,NaF,0.37,0.63,-28665.14,1200
CrF3,NaF,0.36,0.64,-28349.49,1200
CrF3,NaF,0.35,0.65,-27935.09,1200
CrF3,NaF,0.34,0.66,-27427.62,1200
CrF3,NaF,0.33,0.67,-26836.54,1200
CrF3,NaF,0.32,0.68,-26173.74,1200
CrF3,NaF,0.31,0.69,-25451.89,1200
CrF3,NaF,0.3,0.7,-24683.14,1200
CrF3,NaF,0.29,0.71,-23878.32,1200
CrF3,NaF,0.28,0.72,-23046.61,1200
CrF3,NaF,0.27,0.73,-22195.5,1200
CrF3,NaF,0.26,0.74,-21331.01,1200
CrF3,NaF,0.25,0.75,-20457.87,1200
CrF3,NaF,0.24,0.76,-19579.76,1200
CrF3,NaF,0.23,0.77,-18699.58,1200
CrF3,NaF,0.22,0.78,-17819.58,1200
CrF3,NaF,0.21,0.79,-16941.49,1200
CrF3,NaF,0.2,0.8,-16066.68,1200
CrF3,NaF,0.19,0.81,-15196.22,1200
CrF3,NaF,0.18,0.82,-14330.94,1200
CrF3,NaF,0.17,0.83,-13471.5,1200
CrF3,NaF,0.16,0.84,-12618.41,1200
CrF3,NaF,0.15,0.85,-11772.08,1200
CrF3,NaF,0.14,0.86,-10932.84,1200
CrF3,NaF,0.13,0.87,-10100.92,1200
CrF3,NaF,0.12,0.88,-9276.52,1200
CrF3,NaF,0.11,0.89,-8459.79,1200
CrF3,NaF,0.1,0.9,-7650.86,1200
CrF3,NaF,0.09,0.91,-6849.8,1200
CrF3,NaF,0.08,0.92,-6056.68,1200
CrF3,NaF,0.07,0.93,-5271.53,1200
CrF3,NaF,0.06,0.94,-4494.4,1200
CrF3,NaF,0.05,0.95,-3725.3,1200
CrF3,NaF,0.04,0.96,-2964.22,1200
CrF3,NaF,0.03,0.97,-2211.16,1200
CrF3,NaF,0.02,0.98,-1466.12,1200
CrF3,NaF,0.01,0.99,-729.08,1200
CrF3,NaF,0,1,0,1200
CsF,CsI,1,0,0,1200
CsF,CsI,0.99,0.01,-31.28,1200
CsF,CsI,0.98,0.02,-62.11,1200
CsF,CsI,0.97,0.03,-92.5,1200
CsF,CsI,0.96,0.04,-122.45,1200
CsF,CsI,0.95,0.05,-151.96,1200
CsF,CsI,0.94,0.06,-181.04,1200
CsF,CsI,0.93,0.07,-209.68,1200
CsF,CsI,0.92,0.08,-237.88,1200
CsF,CsI,0.91,0.09,-265.65,1200
CsF,CsI,0.9,0.1,-292.99,1200
CsF,CsI,0.89,0.11,-319.9,1200
CsF,CsI,0.88,0.12,-346.38,1200
CsF,CsI,0.87,0.13,-372.44,1200
CsF,CsI,0.86,0.14,-398.07,1200
CsF,CsI,0.85,0.15,-423.26,1200
CsF,CsI,0.84,0.16,-448.04,1200
CsF,CsI,0.83,0.17,-472.38,1200
CsF,CsI,0.82,0.18,-496.31,1200
CsF,CsI,0.81,0.19,-519.8,1200
CsF,CsI,0.8,0.2,-542.86,1200
CsF,CsI,0.79,0.21,-565.5,1200
CsF,CsI,0.78,0.22,-587.7,1200
CsF,CsI,0.77,0.23,-609.47,1200
CsF,CsI,0.76,0.24,-630.81,1200
CsF,CsI,0.75,0.25,-651.71,1200
CsF,CsI,0.74,0.26,-672.16,1200
CsF,CsI,0.73,0.27,-692.17,1200
CsF,CsI,0.72,0.28,-711.74,1200
CsF,CsI,0.71,0.29,-730.85,1200
CsF,CsI,0.7,0.3,-749.49,1200
CsF,CsI,0.69,0.31,-767.68,1200
CsF,CsI,0.68,0.32,-785.39,1200
CsF,CsI,0.67,0.33,-802.63,1200
CsF,CsI,0.66,0.34,-819.38,1200
CsF,CsI,0.65,0.35,-835.63,1200
CsF,CsI,0.64,0.36,-851.38,1200
CsF,CsI,0.63,0.37,-866.63,1200
CsF,CsI,0.62,0.38,-881.35,1200
CsF,CsI,0.61,0.39,-895.53,1200
CsF,CsI,0.6,0.4,-909.18,1200
CsF,CsI,0.59,0.41,-922.27,1200
CsF,CsI,0.58,0.42,-934.79,1200
CsF,CsI,0.57,0.43,-946.73,1200
CsF,CsI,0.56,0.44,-958.08,1200
CsF,CsI,0.55,0.45,-968.82,1200
CsF,CsI,0.54,0.46,-978.93,1200
CsF,CsI,0.53,0.47,-988.4,1200
CsF,CsI,0.52,0.48,-997.22,1200
CsF,CsI,0.51,0.49,-1005.36,1200
CsF,CsI,0.5,0.5,-1012.82,1200
CsF,CsI,0.49,0.51,-1019.56,1200
CsF,CsI,0.48,0.52,-1025.57,1200
CsF,CsI,0.47,0.53,-1030.83,1200
CsF,CsI,0.46,0.54,-1035.33,1200
CsF,CsI,0.45,0.55,-1039.03,1200
CsF,CsI,0.44,0.56,-1041.92,1200
CsF,CsI,0.43,0.57,-1043.98,1200
CsF,CsI,0.42,0.58,-1045.19,1200
CsF,CsI,0.41,0.59,-1045.52,1200
CsF,CsI,0.4,0.6,-1044.94,1200
CsF,CsI,0.39,0.61,-1043.44,1200
CsF,CsI,0.38,0.62,-1040.99,1200
CsF,CsI,0.37,0.63,-1037.56,1200
CsF,CsI,0.36,0.64,-1033.13,1200
CsF,CsI,0.35,0.65,-1027.68,1200
CsF,CsI,0.34,0.66,-1021.18,1200
CsF,CsI,0.33,0.67,-1013.6,1200
CsF,CsI,0.32,0.68,-1004.93,1200
CsF,CsI,0.31,0.69,-995.12,1200
CsF,CsI,0.3,0.7,-984.16,1200
CsF,CsI,0.29,0.71,-972.02,1200
CsF,CsI,0.28,0.72,-958.67,1200
CsF,CsI,0.27,0.73,-944.1,1200
CsF,CsI,0.26,0.74,-928.26,1200
CsF,CsI,0.25,0.75,-911.15,1200
CsF,CsI,0.24,0.76,-892.72,1200
CsF,CsI,0.23,0.77,-872.96,1200
CsF,CsI,0.22,0.78,-851.84,1200
CsF,CsI,0.21,0.79,-829.34,1200
CsF,CsI,0.2,0.8,-805.43,1200
CsF,CsI,0.19,0.81,-780.09,1200
CsF,CsI,0.18,0.82,-753.29,1200
CsF,CsI,0.17,0.83,-725.02,1200
CsF,CsI,0.16,0.84,-695.25,1200
CsF,CsI,0.15,0.85,-663.96,1200
CsF,CsI,0.14,0.86,-631.13,1200
CsF,CsI,0.13,0.87,-596.73,1200
CsF,CsI,0.12,0.88,-560.76,1200
CsF,CsI,0.11,0.89,-523.19,1200
CsF,CsI,0.1,0.9,-484.01,1200
CsF,CsI,0.09,0.91,-443.19,1200
CsF,CsI,0.08,0.92,-400.72,1200
CsF,CsI,0.07,0.93,-356.59,1200
CsF,CsI,0.06,0.94,-310.78,1200
CsF,CsI,0.05,0.95,-263.28,1200
CsF,CsI,0.04,0.96,-214.07,1200
CsF,CsI,0.03,0.97,-163.15,1200
CsF,CsI,0.02,0.98,-110.51,1200
CsF,CsI,0.01,0.99,-56.13,1200
CsF,CsI,0,1,0,1200
CsF,KF,1,0,0,1200
CsF,KF,0.99,0.01,19.28,1200
CsF,KF,0.98,0.02,38.14,1200
CsF,KF,0.97,0.03,56.57,1200
CsF,KF,0.96,0.04,74.58,1200
CsF,KF,0.95,0.05,92.16,1200
CsF,KF,0.94,0.06,109.33,1200
CsF,KF,0.93,0.07,126.08,1200
CsF,KF,0.92,0.08,142.41,1200
CsF,KF,0.91,0.09,158.34,1200
CsF,KF,0.9,0.1,173.85,1200
CsF,KF,0.89,0.11,188.95,1200
CsF,KF,0.88,0.12,203.65,1200
CsF,KF,0.87,0.13,217.95,1200
CsF,KF,0.86,0.14,231.84,1200
CsF,KF,0.85,0.15,245.34,1200
CsF,KF,0.84,0.16,258.43,1200
CsF,KF,0.83,0.17,271.13,1200
CsF,KF,0.82,0.18,283.43,1200
CsF,KF,0.81,0.19,295.34,1200
CsF,KF,0.8,0.2,306.86,1200
CsF,KF,0.79,0.21,317.98,1200
CsF,KF,0.78,0.22,328.72,1200
CsF,KF,0.77,0.23,339.06,1200
CsF,KF,0.76,0.24,349.02,1200
CsF,KF,0.75,0.25,358.6,1200
CsF,KF,0.74,0.26,367.79,1200
CsF,KF,0.73,0.27,376.6,1200
CsF,KF,0.72,0.28,385.02,1200
CsF,KF,0.71,0.29,393.06,1200
CsF,KF,0.7,0.3,400.73,1200
CsF,KF,0.69,0.31,408.01,1200
CsF,KF,0.68,0.32,414.92,1200
CsF,KF,0.67,0.33,421.44,1200
CsF,KF,0.66,0.34,427.59,1200
CsF,KF,0.65,0.35,433.37,1200
CsF,KF,0.64,0.36,438.76,1200
CsF,KF,0.63,0.37,443.79,1200
CsF,KF,0.62,0.38,448.43,1200
CsF,KF,0.61,0.39,452.71,1200
CsF,KF,0.6,0.4,456.61,1200
CsF,KF,0.59,0.41,460.14,1200
CsF,KF,0.58,0.42,463.29,1200
CsF,KF,0.57,0.43,466.08,1200
CsF,KF,0.56,0.44,468.49,1200
CsF,KF,0.55,0.45,470.53,1200
CsF,KF,0.54,0.46,472.2,1200
CsF,KF,0.53,0.47,473.5,1200
CsF,KF,0.52,0.48,474.42,1200
CsF,KF,0.51,0.49,474.98,1200
CsF,KF,0.5,0.5,475.17,1200
CsF,KF,0.49,0.51,474.98,1200
CsF,KF,0.48,0.52,474.42,1200
CsF,KF,0.47,0.53,473.5,1200
CsF,KF,0.46,0.54,472.2,1200
CsF,KF,0.45,0.55,470.53,1200
CsF,KF,0.44,0.56,468.49,1200
CsF,KF,0.43,0.57,466.08,1200
CsF,KF,0.42,0.58,463.29,1200
CsF,KF,0.41,0.59,460.14,1200
CsF,KF,0.4,0.6,456.61,1200
CsF,KF,0.39,0.61,452.71,1200
CsF,KF,0.38,0.62,448.43,1200
CsF,KF,0.37,0.63,443.79,1200
CsF,KF,0.36,0.64,438.76,1200
CsF,KF,0.35,0.65,433.37,1200
CsF,KF,0.34,0.66,427.59,1200
CsF,KF,0.33,0.67,421.44,1200
CsF,KF,0.32,0.68,414.92,1200
CsF,KF,0.31,0.69,408.01,1200
CsF,KF,0.3,0.7,400.73,1200
CsF,KF,0.29,0.71,393.06,1200
CsF,KF,0.28,0.72,385.02,1200
CsF,KF,0.27,0.73,376.6,1200
CsF,KF,0.26,0.74,367.79,1200
CsF,KF,0.25,0.75,358.6,1200
CsF,KF,0.24,0.76,349.02,1200
CsF,KF,0.23,0.77,339.06,1200
CsF,KF,0.22,0.78,328.72,1200
CsF,KF,0.21,0.79,317.98,1200
CsF,KF,0.2,0.8,306.86,1200
CsF,KF,0.19,0.81,295.34,1200
CsF,KF,0.18,0.82,283.43,1200
CsF,KF,0.17,0.83,271.13,1200
CsF,KF,0.16,0.84,258.43,1200
CsF,KF,0.15,0.85,245.34,1200
CsF,KF,0.14,0.86,231.84,1200
CsF,KF,0.13,0.87,217.95,1200
CsF,KF,0.12,0.88,203.65,1200
CsF,KF,0.11,0.89,188.95,1200
CsF,KF,0.1,0.9,173.85,1200
CsF,KF,0.09,0.91,158.34,1200
CsF,KF,0.08,0.92,142.41,1200
CsF,KF,0.07,0.93,126.08,1200
CsF,KF,0.06,0.94,109.33,1200
CsF,KF,0.05,0.95,92.16,1200
CsF,KF,0.04,0.96,74.58,1200
CsF,KF,0.03,0.97,56.57,1200
CsF,KF,0.02,0.98,38.14,1200
CsF,KF,0.01,0.99,19.28,1200
