Species 1,Species 2,Mole frac species 1,Mole frac species 2,Temp (K),Author,type,Link
KF,UF4,0.455,0.545,1016,Schacherl (2021),solidus,Eutectic KF UF4 Schacherl.exp
KF,UF4,0.427,0.573,1018,Schacherl (2021),solidus,Eutectic KF UF4 Schacherl.exp
KF,UF4,0.333,0.667,1014,Schacherl (2021),solidus,Eutectic KF UF4 Schacherl.exp
KF,UF4,0.298,0.702,1031,Schacherl (2021),solidus,Eutectic KF UF4 Schacherl.exp
KF,UF4,0.259,0.741,1032,Schacherl (2021),solidus,Eutectic KF UF4 Schacherl.exp
KF,UF4,0.2,0.8,1027,Schacherl (2021),solidus,Eutectic KF UF4 Schacherl.exp
KF,UF4,0.15,0.85,1028,Schacherl (2021),solidus,Eutectic KF UF4 Schacherl.exp
KF,UF4,0.950013715,0.049986285,992.82,Schorne-Pinto (2024),solidus,Eutectic KF UF4 Schorne-Pinto.exp
KF,UF4,0.892646293,0.107353707,983.316,Schorne-Pinto (2024),solidus,Eutectic KF UF4 Schorne-Pinto.exp
KF,UF4,0.819800963,0.180199037,992.596,Schorne-Pinto (2024),solidus,Eutectic KF UF4 Schorne-Pinto.exp
KF,UF4,0.803151479,0.196848521,983.836,Schorne-Pinto (2024),solidus,Eutectic KF UF4 Schorne-Pinto.exp
KF,UF4,0.781080983,0.218919017,981.448,Schorne-Pinto (2024),solidus,Eutectic KF UF4 Schorne-Pinto.exp
KF,UF4,0.667,0.333,1030,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.6,0.4,1033,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.6,0.4,1009,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.5,0.5,1013,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.3,0.7,1042,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.3,0.7,1041,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.25,0.75,1041,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.2,0.8,1049,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.2,0.8,1045,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.2,0.8,1041,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.135,0.865,1037,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.135,0.865,1040,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.9,0.1,1008,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.85,0.15,1008,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.82,0.18,1008,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.8,0.2,1008,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.73,0.27,1033,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.7,0.3,1023,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.68,0.32,1018,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.667,0.333,1028,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.655,0.345,1028,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.65,0.35,1028,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.64,0.36,1023,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.62,0.38,1023,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.6,0.4,1008,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.5,0.5,1008,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.4,0.6,1008,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.35,0.65,1008,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.333,0.667,1038,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.32,0.68,1038,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.3,0.7,1038,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.25,0.75,1038,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.2,0.8,1038,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.135,0.865,1038,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.1,0.9,1025,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.08,0.92,1028,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.06,0.94,1038,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.04,0.96,1028,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
KF,UF4,0.135,0.865,1053,Thoma (1958),solidus,https://doi.org/10.1111/j.1151-2916.1958.tb12912.x
NaF,UF4,0.73,0.27,896.15,Barton (1958),solidus,Eutectic NaF UF4 Barton.exp
NaF,UF4,0.73,0.27,893.15,Barton (1958),solidus,Eutectic NaF UF4 Barton.exp
NaF,UF4,0.68,0.32,896.15,Barton (1958),solidus,Eutectic NaF UF4 Barton.exp
NaF,UF4,0.667,0.333,936.15,Barton (1958),solidus,Eutectic NaF UF4 Barton.exp
NaF,UF4,0.667,0.333,923.15,Barton (1958),solidus,Eutectic NaF UF4 Barton.exp
NaF,UF4,0.667,0.333,931.15,Barton (1958),solidus,Eutectic NaF UF4 Barton.exp
NaF,UF4,0.667,0.333,919.15,Barton (1958),solidus,Eutectic NaF UF4 Barton.exp
NaF,UF4,0.948,0.052,874.092,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.899,0.101,879.499,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.85,0.15,879.724,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.799,0.201,882.433,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.769,0.231,879.864,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.74,0.26,880,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.72,0.28,879.19,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.699,0.301,879.96,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.499,0.501,945.985,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.452,0.548,945.752,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.449,0.551,937.201,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.391,0.609,941.973,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.324,0.676,944.757,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.2,0.8,935.636,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.102,0.898,939.912,Blakely (1951),solidus,Eutectic NaF UF4 Blakely.exp
NaF,UF4,0.9,0.1,887,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.85,0.15,885,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.825,0.175,884,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.799,0.201,886,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.75,0.25,887,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.72,0.28,884,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.701,0.299,882,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.501,0.499,951,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.441,0.559,951,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.399,0.601,950,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.367,0.633,953,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.333,0.667,947,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.3,0.7,947,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.198,0.802,946,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
NaF,UF4,0.099,0.901,948,Schacherl (2021),solidus,Eutectic NaF UF4 Schacherl.exp
KCl,MgCl2,0.68,0.32,692.996,Abramov (1935),solidus,Eutectic_KCl_MgCl2_Abramov (1935).exp
KCl,MgCl2,0.412,0.588,707.144,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.408,0.592,705.535,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.402,0.598,704.373,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.399,0.601,704.365,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.399,0.601,704.365,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.395,0.605,702.98,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.39,0.61,702.967,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.382,0.618,700.886,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.391,0.609,695.43,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.396,0.604,694.076,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.4,0.6,699.798,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.403,0.597,701.178,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.408,0.592,701.195,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.413,0.587,702.578,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.419,0.581,703.283,Ivanov (1953),solidus,Eutectic_KCl_MgCl2_Ivanov.exp
KCl,MgCl2,0.701,0.299,699.514,Perry & Fletcher,solidus,Eutectic_KCl_MgCl2_Perry_Fletcher.exp
KCl,MgCl2,0.69,0.31,698.687,Perry & Fletcher,solidus,Eutectic_KCl_MgCl2_Perry_Fletcher.exp
KCl,MgCl2,0.68,0.32,697.864,Perry & Fletcher,solidus,Eutectic_KCl_MgCl2_Perry_Fletcher.exp
KCl,MgCl2,0.67,0.33,700.228,Perry & Fletcher,solidus,Eutectic_KCl_MgCl2_Perry_Fletcher.exp
KF,KI,0.3,0.7,853,Ruff (1903),solidus,Eutectic_KF_KI_Ruff.exp
KF,KI,0.34,0.66,817,Sangster (1937),solidus,Eutectic_KF_KI_Sangster.exp
KF,KI,0.33,0.67,816,Sangster (1937),solidus,Eutectic_KF_KI_Sangster.exp
LiF,LiI,0.165,0.835,684.05,Johnson (1971),solidus,Eutectic_LiF-LiI_Johnson.exp
LiF,LiI,0.165,0.835,684.05,Johnson (1971),solidus,Eutectic_LiF-LiI_Johnson.exp
LiBr,LiF,0.71,0.29,726,Sangster (1987),solidus,Eutectic_LiF_LiBr_Sangster.exp
LiBr,LiF,0.76,0.24,721,Sangster (1987),solidus,Eutectic_LiF_LiBr_Sangster.exp
LiBr,LiF,0.77,0.23,731,Sangster (1987),solidus,Eutectic_LiF_LiBr_Sangster.exp
LiBr,LiF,0.75,0.25,721,Sangster (1987),solidus,Eutectic_LiF_LiBr_Sangster.exp
KF,NaF,0.313,0.687,994.4,Schorne-Pinto et al. (2024),solidus,Eutectic_NaF_KF_Cooling_Schorne-Pinto.exp
KF,NaF,0.313,0.687,992,Schorne-Pinto et al. (2024),solidus,Eutectic_NaF_KF_Heating_Schorne-Pinto.exp
KF,NaF,0.0505,0.9495,991,Holm (1965),solidus,Eutectic_NaF_KF_Holm.exp
KF,NaF,0.1004,0.8996,992,Holm (1965),solidus,Eutectic_NaF_KF_Holm.exp
KF,NaF,0.1989,0.8011,993,Holm (1965),solidus,Eutectic_NaF_KF_Holm.exp
KF,NaF,0.2996,0.7004,993.7,Holm (1965),solidus,Eutectic_NaF_KF_Holm.exp
KF,NaF,0.387,0.613,993.9,Holm (1965),solidus,Eutectic_NaF_KF_Holm.exp
KF,NaF,0.4369,0.5631,993.9,Holm (1965),solidus,Eutectic_NaF_KF_Holm.exp
KF,NaF,0.6685,0.3315,993.6,Holm (1965),solidus,Eutectic_NaF_KF_Holm.exp
KF,NaF,0.7015,0.2985,993.5,Holm (1965),solidus,Eutectic_NaF_KF_Holm.exp
KF,NaF,0.7974,0.2026,992.7,Holm (1965),solidus,Eutectic_NaF_KF_Holm.exp
KF,NaF,0.9082,0.0918,987.2,Holm (1965),solidus,Eutectic_NaF_KF_Holm.exp
KF,NaF,0.9499,0.0501,991,Holm (1965),solidus,Eutectic_NaF_KF_Holm.exp
KF,NaF,0.0584,0.9416,973,Kurnakow (1907),solidus,Eutectic_NaF_KF_Kurnakow.exp
KF,NaF,0.482,0.518,972,Kurnakow (1907),solidus,Eutectic_NaF_KF_Kurnakow.exp
KF,NaF,0.6,0.4,972,Kurnakow (1907),solidus,Eutectic_NaF_KF_Kurnakow.exp
KF,NaF,0.65,0.35,972,Kurnakow (1907),solidus,Eutectic_NaF_KF_Kurnakow.exp
KF,NaF,0.8,0.2,970,Kurnakow (1907),solidus,Eutectic_NaF_KF_Kurnakow.exp
LiF,LiI,0,1,1394.15,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.1,0.9,1368.35,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.2,0.8,1344.85,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.275,0.725,1326.05,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.35,0.65,1301.45,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.45,0.55,1255.95,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.55,0.45,1198.15,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.65,0.35,1130.05,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.7,0.3,1093.65,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.8,0.2,994.25,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.835,0.165,957.05,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.849,0.151,962.35,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.9,0.1,984.75,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,0.95,0.05,1001.35,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
LiF,LiI,1,0,1015.35,Johnson (1971),solidus,Eutectic2_LiF-LiI_Johnson.exp
NaF,UF4,0.7,0.3,895.15,Kraus (1943),solidus,Eutectuc NaF UF4 Kraus.exp
NaF,UF4,0.7,0.3,895.15,Kraus (1943),solidus,Eutectuc NaF UF4 Kraus.exp
NaF,UF4,0.666666667,0.333333333,907.15,Kraus (1943),solidus,Eutectuc NaF UF4 Kraus.exp
NaF,UF4,0.4,0.6,968.15,Kraus (1943),solidus,Eutectuc NaF UF4 Kraus.exp
NaF,UF4,0.3,0.7,963.15,Kraus (1943),solidus,Eutectuc NaF UF4 Kraus.exp
NaF,UF4,0.9,0.1,875.15,Kraus (1943),solidus,Eutectuc NaF UF4 Kraus.exp
NaF,UF4,0.9,0.1,870.15,Kraus (1943),solidus,Eutectuc NaF UF4 Kraus.exp
NaF,UF4,0.82,0.18,893.15,Kraus (1943),solidus,Eutectuc NaF UF4 Kraus.exp
NaF,UF4,0.82,0.18,890.15,Kraus (1943),solidus,Eutectuc NaF UF4 Kraus.exp
NaF,UF4,0.78,0.22,875.15,Kraus (1943),solidus,Eutectuc NaF UF4 Kraus.exp
NaF,UF4,0.666666667,0.333333333,895.15,Kraus (1943),solidus,Eutectuc NaF UF4 Kraus.exp
KCl,NaCl,1,0,1067.806,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.98,0.02,1058.164,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.952,0.048,1052.379,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.9,0.1,1036.952,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.851,0.149,1025.381,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.8,0.2,1013.811,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.8,0.2,1013.811,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.751,0.249,998.384,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.7,0.3,988.742,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.651,0.349,971.387,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.601,0.399,959.817,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.551,0.449,948.246,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.501,0.499,918.605,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.451,0.549,950.175,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.4,0.6,959.817,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.351,0.649,981.029,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.301,0.699,994.527,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.251,0.749,1013.811,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.203,0.797,1033.095,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.151,0.849,1046.594,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.1,0.9,1062.021,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.049,0.951,1075.519,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.049,0.951,1075.519,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0.02,0.98,1087.089,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
KCl,NaCl,0,1,1098.66,Coleman,liquidus,Liquidius_NaCl_KCl_Coleman.exp
NaCl,NaI,1,0,801,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.85,0.15,755.1,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.7,0.3,706.6,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.6,0.4,671.1,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.5,0.5,634,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.475,0.525,615.1,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.45,0.55,602.2,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.425,0.575,592.1,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.425,0.575,589,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.4,0.6,576.2,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.386,0.614,572.9,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.369,0.631,576.6,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.35,0.65,581.1,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.301,0.699,594.7,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.25,0.75,605.1,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.2,0.8,619,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0.1,0.9,638.3,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,0,1,659.3,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson (1).exp
NaCl,NaI,1,0,801,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.85,0.15,755.1,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.7,0.3,706.6,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.6,0.4,671.1,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.5,0.5,634,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.475,0.525,615.1,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.45,0.55,602.2,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.425,0.575,592.1,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.425,0.575,589,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.4,0.6,576.2,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.386,0.614,572.9,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.369,0.631,576.6,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.35,0.65,581.1,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.301,0.699,594.7,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.25,0.75,605.1,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.2,0.8,619,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0.1,0.9,638.3,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
NaCl,NaI,0,1,659.3,Johnson (1971),liquidus,Liquidous_NaI_NaCl_Johnson.exp
CsCl,KCl,1,0,913,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.949392713,0.050607287,911.7507886,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.898785425,0.101214575,909.2523659,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.848852901,0.151147099,899.2586751,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.799595142,0.200404858,885.9337539,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.750337382,0.249662618,873.4416404,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.701754386,0.298245614,866.7791798,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.647773279,0.352226721,864.2807571,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.600539811,0.399460189,865.1135647,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.547908232,0.452091768,876.7728707,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.499325236,0.500674764,892.5962145,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.449392713,0.550607287,913,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.40148448,0.59851552,932.1545741,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,0.350877193,0.649122807,956.7223975,Il'yasov and Bergman (1962),liquidus,Liquidus CsCl KCl Il'yasov Bergman.exp
CsCl,KCl,1,0,902,Keitel (1925),liquidus,Liquidus CsCl KCl Keitel.exp
CsCl,KCl,0.85,0.15,889,Keitel (1925),liquidus,Liquidus CsCl KCl Keitel.exp
CsCl,KCl,0.85,0.15,884,Keitel (1925),liquidus,Liquidus CsCl KCl Keitel.exp
CsCl,KCl,0.65,0.35,883,Keitel (1925),liquidus,Liquidus CsCl KCl Keitel.exp
CsCl,KCl,0.65,0.35,884,Keitel (1925),liquidus,Liquidus CsCl KCl Keitel.exp
CsCl,KCl,0.2,0.8,980,Keitel (1925),liquidus,Liquidus CsCl KCl Keitel.exp
CsCl,KCl,0.2,0.8,963,Keitel (1925),liquidus,Liquidus CsCl KCl Keitel.exp
CsCl,KCl,0,1,1049,Keitel (1925),liquidus,Liquidus CsCl KCl Keitel.exp
KCl,CsCl,0,1,912,Lin and Braski (1973),liquidus,Liquidus CsCl KCl Lin Braski.exp
KCl,CsCl,0.01,0.99,910,Lin and Braski (1973),liquidus,Liquidus CsCl KCl Lin Braski.exp
